,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
114,900922910,09009,"East Haven town, New Haven County, Connecticut",2000,770,548,1644,42224,43868,68,308,40530,municipality,CT
115,900922910,09009,"East Haven town, New Haven County, Connecticut",2010,719,574,1953,21649,23602,49,155,20152,municipality,CT
116,900934950,09009,"Guilford town, New Haven County, Connecticut",2000,460,300,590,31330,31920,28,200,30342,municipality,CT
117,900934950,09009,"Guilford town, New Haven County, Connecticut",2010,349,117,487,16611,17098,17,109,16019,municipality,CT
118,900935650,09009,"Hamden town, New Haven County, Connecticut",2000,3058,11936,3082,87078,90160,260,994,70830,municipality,CT
119,900935650,09009,"Hamden town, New Haven County, Connecticut",2010,2475,8668,3582,45756,49338,124,621,33868,municipality,CT
120,900944560,09009,"Madison town, New Haven County, Connecticut",2000,396,82,296,25336,25632,20,172,24666,municipality,CT
121,900944560,09009,"Madison town, New Haven County, Connecticut",2010,267,63,226,13264,13490,21,83,12830,municipality,CT
122,900946520,09009,"Meriden town, New Haven County, Connecticut",2000,1160,4336,14832,71724,86556,280,1006,64942,municipality,CT
123,900946520,09009,"Meriden town, New Haven County, Connecticut",2010,924,3535,11088,35227,46315,134,502,30132,municipality,CT
124,900946940,09009,"Middlebury town, New Haven County, Connecticut",2000,128,32,100,9638,9738,12,50,9416,municipality,CT
125,900946940,09009,"Middlebury town, New Haven County, Connecticut",2010,191,45,119,5593,5712,15,36,5306,municipality,CT
126,900947535,09009,"Milford town, New Haven County, Connecticut",2000,1778,1346,2298,78956,81254,252,572,75008,municipality,CT
127,900947535,09009,"Milford town, New Haven County, Connecticut",2010,2003,916,1806,40403,42209,121,319,37044,municipality,CT
128,900949950,09009,"Naugatuck town, New Haven County, Connecticut",2000,780,1114,1654,43674,45328,284,554,40942,municipality,CT
129,900949950,09009,"Naugatuck town, New Haven County, Connecticut",2010,664,982,1817,22665,24482,174,274,20571,municipality,CT
130,900952070,09009,"New Haven town, New Haven County, Connecticut",2000,8208,59176,33424,150936,184360,1246,4166,78140,municipality,CT
131,900952070,09009,"New Haven town, New Haven County, Connecticut",2010,5232,31173,23936,76261,100197,635,1914,37307,municipality,CT
132,900953890,09009,"North Branford town, New Haven County, Connecticut",2000,172,208,296,20396,20692,16,98,19902,municipality,CT
133,900953890,09009,"North Branford town, New Haven County, Connecticut",2010,155,147,247,10978,11225,14,60,10602,municipality,CT
134,900954870,09009,"North Haven town, New Haven County, Connecticut",2000,1102,796,582,35084,35666,44,188,32954,municipality,CT
135,900954870,09009,"North Haven town, New Haven County, Connecticut",2010,815,551,602,18487,19089,36,127,16958,municipality,CT
136,900957600,09009,"Orange town, New Haven County, Connecticut",2000,714,160,264,19694,19958,20,128,18672,municipality,CT
137,900957600,09009,"Orange town, New Haven County, Connecticut",2010,723,134,264,10446,10710,28,64,9497,municipality,CT
138,900958300,09009,"Oxford town, New Haven County, Connecticut",2000,88,76,226,14090,14316,36,54,13836,municipality,CT
139,900958300,09009,"Oxford town, New Haven County, Connecticut",2010,131,103,269,9329,9598,22,60,9013,municipality,CT
140,900962290,09009,"Prospect town, New Haven County, Connecticut",2000,88,194,208,12862,13070,36,66,12478,municipality,CT
141,900962290,09009,"Prospect town, New Haven County, Connecticut",2010,55,137,210,7071,7281,19,38,6822,municipality,CT
142,900967610,09009,"Seymour town, New Haven County, Connecticut",2000,370,300,584,22950,23534,80,100,22100,municipality,CT
143,900967610,09009,"Seymour town, New Haven County, Connecticut",2010,250,283,683,12239,12922,23,99,11584,municipality,CT
144,900969640,09009,"Southbury town, New Haven County, Connecticut",2000,272,144,382,28296,28678,40,128,27712,municipality,CT
145,900969640,09009,"Southbury town, New Haven County, Connecticut",2010,363,114,310,15544,15854,29,83,14955,municipality,CT
146,900978740,09009,"Wallingford town, New Haven County, Connecticut",2000,1072,626,2526,62874,65400,128,426,60622,municipality,CT
147,900978740,09009,"Wallingford town, New Haven County, Connecticut",2010,1093,466,2327,33330,35657,71,232,31468,municipality,CT
148,900980070,09009,"Waterbury town, New Haven County, Connecticut",2000,2338,21358,27332,130302,157634,1356,2952,102298,municipality,CT
149,900980070,09009,"Waterbury town, New Haven County, Connecticut",2010,1454,13854,21686,60415,82101,1138,1341,42628,municipality,CT
