stco,id_00,nm_00,geoid,name
34017,3401728650,"Guttenberg town, Hudson County, New Jersey",3401728650,"Guttenberg town, Hudson County, New Jersey"
34017,3401730210,"Harrison town, Hudson County, New Jersey",3401730210,"Harrison town, Hudson County, New Jersey"
34017,3401732250,"Hoboken city, Hudson County, New Jersey",3401732250,"Hoboken city, Hudson County, New Jersey"
34017,3401736000,"Jersey City city, Hudson County, New Jersey",3401736000,"Jersey City city, Hudson County, New Jersey"
34017,3401736510,"Kearny town, Hudson County, New Jersey",3401736510,"Kearny town, Hudson County, New Jersey"
34017,3401752470,"North Bergen township, Hudson County, New Jersey",3401752470,"North Bergen township, Hudson County, New Jersey"
34017,3401766570,"Secaucus town, Hudson County, New Jersey",3401766570,"Secaucus town, Hudson County, New Jersey"
34017,3401774630,"Union City city, Hudson County, New Jersey",3401774630,"Union City city, Hudson County, New Jersey"
34017,3401777930,"Weehawken township, Hudson County, New Jersey",3401777930,"Weehawken township, Hudson County, New Jersey"
34017,3401779610,"West New York town, Hudson County, New Jersey",3401779610,"West New York town, Hudson County, New Jersey"
34019,3401900550,"Alexandria township, Hunterdon County, New Jersey",3401900550,"Alexandria township, Hunterdon County, New Jersey"
34019,3401905650,"Bethlehem township, Hunterdon County, New Jersey",3401905650,"Bethlehem township, Hunterdon County, New Jersey"
34019,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",3401906370,"Bloomsbury borough, Hunterdon County, New Jersey"
34019,3401909280,"Califon borough, Hunterdon County, New Jersey",3401909280,"Califon borough, Hunterdon County, New Jersey"
34019,3401913720,"Clinton town, Hunterdon County, New Jersey",3401913720,"Clinton town, Hunterdon County, New Jersey"
34019,3401913750,"Clinton township, Hunterdon County, New Jersey",3401913750,"Clinton township, Hunterdon County, New Jersey"
34019,3401917170,"Delaware township, Hunterdon County, New Jersey",3401917170,"Delaware township, Hunterdon County, New Jersey"
34019,3401918820,"East Amwell township, Hunterdon County, New Jersey",3401918820,"East Amwell township, Hunterdon County, New Jersey"
34019,3401923700,"Flemington borough, Hunterdon County, New Jersey",3401923700,"Flemington borough, Hunterdon County, New Jersey"
34019,3401924870,"Franklin township, Hunterdon County, New Jersey",3401924870,"Franklin township, Hunterdon County, New Jersey"
34019,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",3401925350,"Frenchtown borough, Hunterdon County, New Jersey"
34019,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",3401926550,"Glen Gardner borough, Hunterdon County, New Jersey"
34019,3401929460,"Hampton borough, Hunterdon County, New Jersey",3401929460,"Hampton borough, Hunterdon County, New Jersey"
34019,3401931320,"High Bridge borough, Hunterdon County, New Jersey",3401931320,"High Bridge borough, Hunterdon County, New Jersey"
34019,3401932460,"Holland township, Hunterdon County, New Jersey",3401932460,"Holland township, Hunterdon County, New Jersey"
34019,3401937065,"Kingwood township, Hunterdon County, New Jersey",3401937065,"Kingwood township, Hunterdon County, New Jersey"
34019,3401938610,"Lambertville city, Hunterdon County, New Jersey",3401938610,"Lambertville city, Hunterdon County, New Jersey"
34019,3401939630,"Lebanon borough, Hunterdon County, New Jersey",3401939630,"Lebanon borough, Hunterdon County, New Jersey"
34019,3401939660,"Lebanon township, Hunterdon County, New Jersey",3401939660,"Lebanon township, Hunterdon County, New Jersey"
