stco,ct_id,ct_name,name,id_sub
36047,36047036501,365.01,BK East,36047E
36047,36047036502,365.02,BK East,36047E
36047,36047036700,367,BK East,36047E
36047,36047036900,369,BK East,36047E
36047,36047037100,371,BK East,36047E
36047,36047037300,373,BK East,36047E
36047,36047089200,892,BK East,36047E
36047,36047089400,894,BK East,36047E
36047,36047089600,896,BK East,36047E
36047,36047089800,898,BK East,36047E
36047,36047090000,900,BK East,36047E
36047,36047090200,902,BK East,36047E
36047,36047090600,906,BK East,36047E
36047,36047090800,908,BK East,36047E
36047,36047091000,910,BK East,36047E
36047,36047091200,912,BK East,36047E
36047,36047091600,916,BK East,36047E
36047,36047091800,918,BK East,36047E
36047,36047092000,920,BK East,36047E
36047,36047092200,922,BK East,36047E
36047,36047092400,924,BK East,36047E
36047,36047105801,1058.01,BK East,36047E
36047,36047105804,1058.04,BK East,36047E
36047,36047107001,1070.01,BK East,36047E
36047,36047107002,1070.02,BK East,36047E
36047,36047107003,1070.03,BK East,36047E
36047,36047107800,1078,BK East,36047E
36047,36047109800,1098,BK East,36047E
36047,36047110400,1104,BK East,36047E
36047,36047110600,1106,BK East,36047E
36047,36047111000,1110,BK East,36047E
36047,36047111600,1116,BK East,36047E
36047,36047111800,1118,BK East,36047E
36047,36047112000,1120,BK East,36047E
36047,36047112200,1122,BK East,36047E
36047,36047112400,1124,BK East,36047E
36047,36047112600,1126,BK East,36047E
36047,36047112800,1128,BK East,36047E
36047,36047113000,1130,BK East,36047E
36047,36047113200,1132,BK East,36047E
36047,36047113400,1134,BK East,36047E
36047,36047114201,1142.01,BK East,36047E
36047,36047114202,1142.02,BK East,36047E
36047,36047114400,1144,BK East,36047E
36047,36047114600,1146,BK East,36047E
36047,36047115000,1150,BK East,36047E
36047,36047115200,1152,BK East,36047E
36047,36047115600,1156,BK East,36047E
36047,36047115800,1158,BK East,36047E
36047,36047116000,1160,BK East,36047E
36047,36047116200,1162,BK East,36047E
36047,36047116400,1164,BK East,36047E
36047,36047116600,1166,BK East,36047E
36047,36047116800,1168,BK East,36047E
36047,36047117000,1170,BK East,36047E
36047,36047117201,1172.01,BK East,36047E
36047,36047117202,1172.02,BK East,36047E
36047,36047117400,1174,BK East,36047E
36047,36047117601,1176.01,BK East,36047E
36047,36047117602,1176.02,BK East,36047E
36047,36047117800,1178,BK East,36047E
36047,36047118000,1180,BK East,36047E
36047,36047118201,1182.01,BK East,36047E
36047,36047118202,1182.02,BK East,36047E
36047,36047118400,1184,BK East,36047E
36047,36047118600,1186,BK East,36047E
36047,36047118800,1188,BK East,36047E
36047,36047119000,1190,BK East,36047E
36047,36047119200,1192,BK East,36047E
36047,36047119400,1194,BK East,36047E
36047,36047119600,1196,BK East,36047E
36047,36047119800,1198,BK East,36047E
36047,36047120000,1200,BK East,36047E
36047,36047120200,1202,BK East,36047E
36047,36047120801,1208.01,BK East,36047E
36047,36047120802,1208.02,BK East,36047E
36047,36047120803,1208.03,BK East,36047E
36047,36047121000,1210,BK East,36047E
36047,36047121400,1214,BK East,36047E
36047,36047122000,1220,BK East,36047E
36081,36081000101,1.01,QN Northwest,36081NW
36081,36081000102,1.02,QN Northwest,36081NW
36081,36081000103,1.03,QN Northwest,36081NW
36081,36081000104,1.04,QN Northwest,36081NW
36081,36081000701,7.01,QN Northwest,36081NW
36081,36081000702,7.02,QN Northwest,36081NW
36081,36081001901,19.01,QN Northwest,36081NW
36081,36081001902,19.02,QN Northwest,36081NW
36081,36081001903,19.03,QN Northwest,36081NW
36081,36081002500,25,QN Northwest,36081NW
36081,36081003100,31,QN Northwest,36081NW
36081,36081003301,33.01,QN Northwest,36081NW
36081,36081003302,33.02,QN Northwest,36081NW
36081,36081003700,37,QN Northwest,36081NW
36081,36081003900,39,QN Northwest,36081NW
36081,36081004300,43,QN Northwest,36081NW
36081,36081004500,45,QN Northwest,36081NW
36081,36081004700,47,QN Northwest,36081NW
36081,36081005100,51,QN Northwest,36081NW
36081,36081005300,53,QN Northwest,36081NW
36081,36081005500,55,QN Northwest,36081NW
36081,36081005700,57,QN Northwest,36081NW
36081,36081005900,59,QN Northwest,36081NW
36081,36081006100,61,QN Northwest,36081NW
36081,36081006300,63,QN Northwest,36081NW
36081,36081006501,65.01,QN Northwest,36081NW
36081,36081006502,65.02,QN Northwest,36081NW
36081,36081006900,69,QN Northwest,36081NW
36081,36081007100,71,QN Northwest,36081NW
36081,36081007300,73,QN Northwest,36081NW
36081,36081007500,75,QN Northwest,36081NW
36081,36081007700,77,QN Northwest,36081NW
36081,36081007900,79,QN Northwest,36081NW
36081,36081008100,81,QN Northwest,36081NW
36081,36081008300,83,QN Northwest,36081NW
36081,36081008500,85,QN Northwest,36081NW
36081,36081008700,87,QN Northwest,36081NW
36081,36081009100,91,QN Northwest,36081NW
36081,36081009500,95,QN Northwest,36081NW
36081,36081009700,97,QN Northwest,36081NW
