,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
1049,34003025200,431,74,661,72,4530
1051,34003026100,306,31,300,36,3952
1053,34003026200,332,62,494,68,4638
1055,34003027000,235,9,168,66,3600
1057,34003028001,2037,108,899,105,2017
1059,34003028002,1085,61,590,111,1924
1061,34003029100,1507,221,787,113,1556
1063,34003029200,1043,145,1655,139,3460
1065,34003030100,508,359,1485,121,2669
1067,34003030200,365,428,2498,209,3752
1069,34003030300,336,240,1414,65,2405
1071,34003030400,827,562,1963,164,3766
1073,34003031100,491,112,901,132,3349
1075,34003031200,315,57,903,79,3335
1077,34003031300,242,81,900,74,4044
1079,34003031400,285,75,1065,133,3981
1082,34003032102,325,79,272,57,5281
1083,34003032103,485,54,237,69,3876
1084,34003032104,116,347,507,282,3627
1086,34003032201,563,74,242,52,4435
1087,34003032202,525,62,364,90,3869
1089,34003033100,272,126,588,58,2571
1091,34003033200,204,78,475,54,1691
1093,34003033300,566,256,722,75,1819
1095,34003034000,192,51,474,109,6302
1097,34003035100,861,70,419,99,6395
1099,34003035200,371,47,310,56,4946
1101,34003036100,120,99,791,46,1321
1103,34003036200,267,23,660,50,1708
1105,34003037100,787,84,721,92,3821
1107,34003037201,894,57,541,65,2554
1109,34003037202,1482,366,965,127,3785
1111,34003038100,349,32,1095,101,3878
1113,34003038200,571,69,868,86,2510
1115,34003038300,281,47,1248,78,4179
1117,34003039100,265,42,271,85,3455
1119,34003039200,190,37,287,65,5211
1121,34003039300,77,25,123,14,2607
1123,34003040001,303,22,175,38,2976
1124,34003040002,592,24,222,65,3561
1126,34003041100,3229,77,1109,28,839
1128,34003041200,3019,38,627,53,942
1130,34003041301,2668,84,1320,63,1134
1131,34003041302,2396,84,519,95,1298
1133,34003042100,1599,64,559,145,5035
1135,34003042301,844,36,265,73,3094
1137,34003042302,1018,161,318,221,3841
1139,34003042400,1023,30,322,83,3014
1141,34003042500,1366,44,449,96,2642
1143,34003043001,227,13,190,35,3490
1145,34003043002,297,67,479,49,3798
1147,34003044100,250,21,269,61,5406
1149,34003044201,188,18,261,30,3144
1150,34003044202,521,51,336,76,3841
1152,34003045100,2284,63,1659,115,4049
1154,34003045200,915,32,703,46,1166
1156,34003046100,535,169,1364,76,1892
1158,34003046200,410,177,1534,70,2065
1160,34003046300,502,235,1707,68,1925
1162,34003047100,1002,66,327,106,4504
1164,34003047200,351,40,140,91,3664
1166,34003047300,234,14,107,67,2783
1168,34003047400,652,213,442,116,3460
1170,34003047500,998,40,300,91,5150
1172,34003048100,1335,110,392,55,2157
1174,34003048200,1170,46,477,86,5512
1176,34003049001,319,20,205,49,3953
1178,34003049002,490,44,276,70,4233
1180,34003050000,481,147,904,80,3918
1182,34003051100,705,180,738,139,4146
1184,34003051200,235,32,324,53,2016
1186,34003051300,843,148,777,120,2663
1188,34003051400,557,94,704,114,3473
1190,34003052100,431,38,823,83,6075
1192,34003052200,671,230,843,122,4343
1194,34003053100,291,60,162,69,2570
1196,34003053200,822,108,355,114,6809
1198,34003054100,389,4544,1132,236,1645
1200,34003054200,192,1877,801,153,1406
1202,34003054300,136,413,287,57,6200
1204,34003054400,855,1339,1639,188,3413
1206,34003054500,449,627,764,121,2754
1208,34003054600,1553,1466,1952,260,2928
1210,34003055100,1248,60,316,147,4924
1212,34003055200,2546,63,460,173,4551
1214,34003056100,237,24,387,61,3947
1216,34003056200,241,50,443,60,4175
1218,34003057101,455,242,519,79,2873
1220,34003057102,123,28,348,41,3504
1222,34003057200,32,33,358,29,2671
1224,34003058100,261,39,225,42,3146
1226,34003058200,320,54,270,52,4693
1228,34003059100,527,404,700,66,3348
1230,34003059200,275,62,563,66,4897
