,stco,geoid,name,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003
129,34003,3400363360,"River Edge borough, Bergen County, New Jersey",12049,4337,12049,12049,1339,10710,10424,6649,283,8,3434,0,50,286,4337,4191,146
130,34003,3400363690,"River Vale township, Bergen County, New Jersey",9909,3644,9909,9909,731,9178,8905,7756,117,8,993,1,30,273,3644,3536,108
131,34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",5814,2227,5814,5814,1575,4239,4095,3254,208,3,602,0,28,144,2227,2151,76
132,34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",407,81,407,407,33,374,365,327,10,0,27,0,1,9,81,69,12
133,34003,3400365280,"Rutherford borough, Bergen County, New Jersey",18834,7370,18834,18834,3395,15439,14718,11242,631,27,2688,6,124,721,7370,7061,309
134,34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",14294,5618,14294,14294,2748,11546,11285,9554,442,6,1219,2,62,261,5618,5378,240
135,34003,3400365400,"Saddle River borough, Bergen County, New Jersey",3372,1458,3372,3372,181,3191,3093,2550,65,11,451,2,14,98,1458,1246,212
136,34003,3400368970,"South Hackensack township, Bergen County, New Jersey",2701,950,2701,2701,1256,1445,1394,1068,135,1,172,1,17,51,950,922,28
137,34003,3400372360,"Teaneck township, Bergen County, New Jersey",41246,14430,41246,41246,8848,32398,31047,16845,9180,46,4378,8,590,1351,14430,13784,646
138,34003,3400372420,"Tenafly borough, Bergen County, New Jersey",15409,5184,15409,15409,1137,14272,13777,8719,240,8,4711,12,87,495,5184,4913,271
139,34003,3400372480,"Teterboro borough, Bergen County, New Jersey",61,26,61,61,25,36,34,26,7,0,1,0,0,2,26,25,1
140,34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",8353,2785,8353,8353,579,7774,7524,6120,129,1,1240,1,33,250,2785,2658,127
141,34003,3400376400,"Waldwick borough, Bergen County, New Jersey",10058,3691,10058,10058,1315,8743,8504,7701,126,6,640,0,31,239,3691,3577,114
142,34003,3400376490,"Wallington borough, Bergen County, New Jersey",11868,5108,11868,11868,2299,9569,9408,8286,320,11,694,6,91,161,5108,4825,283
143,34003,3400377135,"Washington township, Bergen County, New Jersey",9285,3375,9285,9285,800,8485,8273,7585,87,8,566,0,27,212,3375,3278,97
144,34003,3400380270,"Westwood borough, Bergen County, New Jersey",11282,4716,11282,11282,1651,9631,9282,7861,448,6,928,6,33,349,4716,4515,201
145,34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",6128,2235,6128,6128,407,5721,5568,4955,46,2,536,1,28,153,2235,2114,121
146,34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",10137,4057,10137,10137,1738,8399,8175,6141,337,4,1617,0,76,224,4057,3920,137
147,34003,3400383050,"Wyckoff township, Bergen County, New Jersey",16585,5769,16585,16585,1315,15270,14762,13767,93,4,872,3,23,508,5769,5569,200
148,34013,3401304695,"Belleville township, Essex County, New Jersey",38222,14970,38222,38222,19181,19041,18188,10310,3092,50,4201,18,517,853,14970,14282,688
149,34013,3401306260,"Bloomfield township, Essex County, New Jersey",53105,21714,53105,53105,16197,36908,34905,19668,9941,84,4495,4,713,2003,21714,20810,904
150,34013,3401309250,"Caldwell borough, Essex County, New Jersey",9027,3669,9027,9027,1313,7714,7498,6471,419,4,545,4,55,216,3669,3538,131
151,34013,3401311200,"Cedar Grove township, Essex County, New Jersey",12980,5042,12980,12980,1465,11515,11160,9754,305,18,1016,2,65,355,5042,4754,288
152,34013,3401313045,"City of Orange township, Essex County, New Jersey",34447,13590,34447,34447,9983,24464,23316,1073,21627,44,262,7,303,1148,13590,12788,802
153,34013,3401319390,"East Orange city, Essex County, New Jersey",69612,30357,69612,69612,9032,60580,57318,1388,54689,164,501,6,570,3262,30357,27410,2947
154,34013,3401321840,"Essex Fells borough, Essex County, New Jersey",2244,806,2244,2244,137,2107,2021,1889,24,2,104,0,2,86,806,750,56
155,34013,3401322385,"Fairfield township, Essex County, New Jersey",7872,2826,7872,7872,733,7139,6980,6562,38,0,355,1,24,159,2826,2747,79
156,34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",7802,2592,7802,7802,558,7244,6749,5825,289,0,587,0,48,495,2592,2529,63
157,34013,3401334450,"Irvington township, Essex County, New Jersey",61176,24984,61176,61176,8985,52191,50124,983,48208,84,413,7,429,2067,24984,22638,2346
158,34013,3401340890,"Livingston township, Essex County, New Jersey",31330,10719,31330,31330,1583,29747,28972,18812,953,12,9014,4,177,775,10719,10337,382
159,34013,3401343800,"Maplewood township, Essex County, New Jersey",25684,9269,25684,25684,2182,23502,22061,13170,7740,30,951,4,166,1441,9269,8866,403
160,34013,3401346380,"Millburn township, Essex County, New Jersey",21710,7241,21710,21710,973,20737,19891,12147,458,15,7123,2,146,846,7241,6908,333
161,34013,3401347500,"Montclair township, Essex County, New Jersey",40921,16304,40921,40921,4304,36617,34137,22593,9008,36,2045,11,444,2480,16304,15555,749
162,34013,3401351000,"Newark city, Essex County, New Jersey",311549,118163,311549,311549,113374,198175,185706,24916,147905,572,4871,63,7379,12469,118163,108789,9374
163,34013,3401352620,"North Caldwell borough, Essex County, New Jersey",6694,2364,6694,6694,405,6289,6092,5476,85,3,518,0,10,197,2364,2258,106
164,34013,3401353680,"Nutley township, Essex County, New Jersey",30143,12340,30143,30143,5858,24285,23539,18864,928,38,3518,13,178,746,12340,11887,453
