,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
1043,36,119.0,3611948895,60,10959,4465,10959,4465,Mount Kisco town
1044,36,119.0,3611949011,60,44436,15221,44436,15221,Mount Pleasant town
1045,36,119.0,3611949121,60,73893,30350,73893,30350,Mount Vernon city
1046,36,119.0,3611950078,60,18311,6160,18311,6160,New Castle town
1047,36,119.0,3611950617,60,79726,30531,79726,30531,New Rochelle city
1048,36,119.0,3611951693,60,12408,4310,12408,4310,North Castle town
1049,36,119.0,3611953517,60,5243,2126,5243,2126,North Salem town
1050,36,119.0,3611955541,60,40061,14975,40061,14975,Ossining town
1051,36,119.0,3611956979,60,25431,10464,25431,10464,Peekskill city
1052,36,119.0,3611957012,60,13078,4490,13078,4490,Pelham town
1053,36,119.0,3611959685,60,5082,2076,5082,2076,Pound Ridge town
1054,36,119.0,3611964309,60,16592,6038,16592,6038,Rye city
1055,36,119.0,3611964320,60,49613,17678,49613,17678,Rye town
1056,36,119.0,3611965442,60,18253,5747,18253,5747,Scarsdale town
1057,36,119.0,3611968308,60,21541,9010,21541,9010,Somers town
1058,36,119.0,3611981677,60,59559,25494,59559,25494,White Plains city
1059,36,119.0,3611984000,60,211569,85528,211569,85528,Yonkers city
1060,36,119.0,3611984077,60,36569,13672,36569,13672,Yorktown town
23888,36,,3601011,160,5220,1857,5220,1857,Albertson CDP
23899,36,,3601594,160,1824,1776,1824,1776,Amagansett CDP
23902,36,,3602044,160,9500,4015,9500,4015,Amityville village
23911,36,,3602374,160,2547,1164,2547,1164,Aquebogue CDP
23918,36,,3602737,160,592,296,592,296,Asharoken village
23920,36,,3602968,160,1707,1046,1707,1046,Atlantic Beach village
23928,36,,3603408,160,12188,4732,12188,4732,Babylon village
23930,36,,3604055,160,2763,1656,2763,1656,Baiting Hollow CDP
23931,36,,3604143,160,33919,11092,33919,11092,Baldwin CDP
23939,36,,3604550,160,2590,1062,2590,1062,Barnum Island CDP
23944,36,,3604803,160,991,425,991,425,Baxter Estates village
23945,36,,3604891,160,2117,888,2117,888,Bay Park CDP
